user_id,n_features,max_weight,mean_weight
44828,6,0.6894,0.3739
45790,11,0.3733,0.298
45927,26,0.295,0.1879
45992,38,0.3955,0.1505
46589,10,0.5179,0.2954
46910,24,0.334,0.194
46955,11,0.426,0.2886
47805,42,0.2129,0.1485
48067,15,0.4586,0.2454
48091,8,0.5296,0.3301
48428,55,0.29,0.1209
48601,11,0.4257,0.2921
49047,1,1.0,1.0
50185,51,0.2665,0.1329
50459,32,0.2631,0.1692
50749,68,0.4325,0.107
51245,20,0.4207,0.213
51489,19,0.2915,0.2246
51792,16,0.6009,0.2236
52090,33,0.6837,0.1206
52478,1,1.0,1.0
53048,1,1.0,1.0
53601,17,0.343,0.238
54968,6,0.5293,0.3967
55239,17,0.3047,0.2351
57022,29,0.4714,0.1668
57491,16,0.3745,0.2443
57979,2,0.95,0.6312
58200,15,0.3909,0.2486
58249,39,0.3262,0.1514
58848,15,0.4492,0.2442
59057,14,0.498,0.2525
59062,53,0.1908,0.1346
59674,192,0.3566,0.0548
59744,5,0.5592,0.4389
60045,7,0.5215,0.354
60264,0,0.0,0.0
60326,72,0.3515,0.1095
60584,23,0.3659,0.199
60667,23,0.324,0.1977
60882,51,0.2231,0.1322
61202,130,0.3509,0.0776
61523,98,0.3992,0.092
62124,104,0.3807,0.0789
62645,23,0.654,0.1741
63488,84,0.186,0.1044
63908,19,0.3001,0.2204
64423,10,0.4381,0.3116
64598,7,0.5453,0.348
64603,137,0.3848,0.0709
64610,8,0.4087,0.3432
64952,26,0.2905,0.184
65726,55,0.2397,0.1276
66232,116,0.1861,0.089
66486,22,0.3641,0.2082
66649,66,0.453,0.1094
66720,31,0.2721,0.173
67363,6,0.5816,0.389
67602,17,0.3722,0.236
67911,18,0.3833,0.2217
68709,90,0.8693,0.0522
68712,16,0.3418,0.2401
68769,24,0.3233,0.1932
68796,9,0.4135,0.3222
68893,9,0.4944,0.3181
69008,1,1.0,1.0
69101,111,0.1359,0.0919
69326,29,0.3835,0.1721
69925,59,0.4513,0.1137
70386,32,0.2559,0.1693
71293,43,0.4668,0.1293
71552,12,0.393,0.2801
71574,49,0.3952,0.1134
72012,10,0.4548,0.3074
72442,6,0.4759,0.3965
72506,36,0.2816,0.1581
73058,1,1.0,1.0
73266,64,0.1896,0.1191
73331,58,0.3002,0.1221
74540,49,0.5755,0.1186
74666,16,0.3474,0.2376
74890,37,0.2733,0.1572
75068,14,0.3622,0.255
