group_id,n_features,max_tfidf,mean_tfidf
44348,19,0.5772,0.0045
44463,7,0.439,0.0033
44803,16,0.3363,0.0049
45483,25,0.3627,0.006
45928,18,0.5487,0.0045
46066,22,0.3106,0.0056
46134,19,0.3523,0.0052
46375,19,0.3461,0.0053
46456,19,0.5544,0.0049
47213,6,0.5392,0.003
47474,19,0.6188,0.0047
49080,20,0.3499,0.0055
49199,19,0.4355,0.0051
49245,16,0.3455,0.0049
49426,11,0.5276,0.0038
50606,21,0.4264,0.0052
50666,15,0.4427,0.0046
50883,6,0.4573,0.0031
51404,9,0.4196,0.0037
51480,23,0.3752,0.0058
53067,16,0.5609,0.0046
53128,17,0.8186,0.0038
53194,23,0.4375,0.0057
53329,23,0.583,0.0052
53400,12,0.377,0.0042
53805,18,0.4267,0.0049
54788,19,0.3885,0.0051
54813,18,0.3737,0.0052
55508,22,0.4013,0.0056
57766,17,0.3041,0.0051
59439,3,0.6365,0.0022
66715,20,0.4639,0.0051
