group_id,neighbor_rank,neighbor_group_id,similarity
2,1,93864,0.0
2,2,93870,0.0
2,3,93874,0.0
2,4,93876,0.0
2,5,93879,0.0
2,6,93918,0.0
2,7,93921,0.0
2,8,93783,0.0
2,9,93794,0.0
2,10,93797,0.0
2,11,93799,0.0
2,12,93802,0.0
2,13,93806,0.0
2,14,93812,0.0
2,15,93843,0.0
2,16,93725,0.0
2,17,93728,0.0
2,18,93742,0.0
2,19,93743,0.0
2,20,93747,0.0
5,1,5,1.0
5,2,6,1.0
5,3,8561,1.0
5,4,4019,1.0
5,5,7748,0.8931
5,6,25520,0.7534
5,7,6825,0.5953
5,8,33862,0.5758
5,9,10441,0.5739
5,10,3631,0.558
5,11,16733,0.5458
5,12,4574,0.5245
5,13,9463,0.5244
5,14,15783,0.508
5,15,12775,0.5039
5,16,16175,0.5027
5,17,16124,0.4906
5,18,7737,0.4895
5,19,32197,0.4321
5,20,21037,0.4281
6,1,5,1.0
6,2,6,1.0
6,3,8561,1.0
6,4,4019,1.0
6,5,7748,0.8931
6,6,25520,0.7534
6,7,6825,0.5953
6,8,33862,0.5758
6,9,10441,0.5739
6,10,3631,0.558
6,11,16733,0.5458
6,12,4574,0.5245
6,13,9463,0.5244
6,14,15783,0.508
6,15,12775,0.5039
6,16,16175,0.5027
6,17,16124,0.4906
6,18,7737,0.4895
6,19,32197,0.4321
6,20,21037,0.4281
7,1,8,1.0
7,2,10640,0.9105
7,3,6998,0.9105
7,4,16341,0.8466
7,5,21181,0.8466
7,6,12886,0.8466
7,7,18925,0.8285
7,8,8747,0.8261
7,9,21487,0.8261
7,10,5215,0.8261
7,11,8892,0.7955
7,12,6001,0.7918
7,13,17465,0.7894
7,14,9830,0.7894
7,15,3378,0.7894
7,16,9567,0.7894
7,17,27401,0.7894
7,18,7851,0.7894
7,19,10099,0.7894
7,20,3936,0.7894
8,1,8,1.0
8,2,10640,0.9105
8,3,6998,0.9105
8,4,16341,0.8466
8,5,21181,0.8466
8,6,12886,0.8466
8,7,18925,0.8285
8,8,8747,0.8261
8,9,21487,0.8261
8,10,5215,0.8261
8,11,8892,0.7955
8,12,6001,0.7918
8,13,17465,0.7894
8,14,9830,0.7894
8,15,3378,0.7894
8,16,9567,0.7894
8,17,27401,0.7894
8,18,7851,0.7894
8,19,10099,0.7894
8,20,3936,0.7894
9,1,9415,0.8786
9,2,16341,0.8071
9,3,21181,0.8071
9,4,12886,0.8071
9,5,8892,0.7584
9,6,6998,0.7504
9,7,10640,0.7504
9,8,11477,0.7007
9,9,8,0.6833
9,10,7,0.6833
9,11,19148,0.6616
9,12,7331,0.6616
9,13,32728,0.6506
9,14,9830,0.6506
9,15,3378,0.6506
9,16,17465,0.6506
9,17,10099,0.6506
9,18,7851,0.6506
9,19,9567,0.6506
9,20,27401,0.6506
10,1,74199,0.8338
10,2,31821,0.7618
10,3,42740,0.7149
10,4,54875,0.709
10,5,35558,0.705
10,6,41535,0.7043
10,7,46640,0.7013
10,8,35566,0.6873
10,9,57128,0.6829
10,10,55551,0.6816
10,11,17432,0.6708
10,12,37154,0.666
10,13,33723,0.662
10,14,33692,0.6598
10,15,11130,0.6569
10,16,9457,0.6504
10,17,21241,0.641
10,18,71397,0.6327
10,19,35708,0.6305
10,20,29832,0.627
11,1,30320,0.9
11,2,13472,0.7984
11,3,16477,0.7984
11,4,18933,0.7377
11,5,18934,0.7377
11,6,13576,0.7244
11,7,20086,0.7244
11,8,34410,0.7203
11,9,12768,0.7113
11,10,29496,0.6751
11,11,11099,0.6464
11,12,28852,0.6198
11,13,24413,0.6
11,14,28014,0.5749
11,15,12141,0.5743
11,16,10798,0.5554
11,17,3589,0.5478
11,18,32106,0.543
11,19,6605,0.5423
11,20,27818,0.5274
12,1,23427,0.5048
12,2,14620,0.4732
12,3,11,0.4675
12,4,29496,0.426
12,5,30320,0.4207
12,6,12768,0.4185
12,7,28014,0.3995
12,8,28637,0.3872
12,9,81491,0.3817
12,10,72280,0.374
12,11,26613,0.3738
12,12,13472,0.3732
12,13,16477,0.3732
12,14,39764,0.3679
12,15,18856,0.3666
12,16,37147,0.3641
12,17,37759,0.3641
12,18,37762,0.3641
12,19,10798,0.3625
12,20,66284,0.3581
13,1,10080,0.5895
13,2,18142,0.5593
13,3,10151,0.5025
13,4,13339,0.4873
13,5,7601,0.4219
13,6,50562,0.2573
13,7,93862,0.0
13,8,93864,0.0
13,9,93870,0.0
13,10,93874,0.0
13,11,93876,0.0
13,12,93879,0.0
13,13,93918,0.0
13,14,93921,0.0
13,15,93783,0.0
13,16,93794,0.0
13,17,93797,0.0
13,18,93799,0.0
13,19,93802,0.0
13,20,93806,0.0
14,1,829,0.6683
14,2,577,0.558
14,3,72320,0.5064
14,4,37737,0.4867
14,5,9391,0.4867
14,6,27292,0.4776
14,7,90186,0.4437
14,8,9846,0.4371
14,9,29425,0.4258
14,10,1546,0.4048
14,11,7216,0.4013
14,12,1634,0.3716
14,13,53777,0.371
14,14,63861,0.3665
14,15,36700,0.3549
14,16,54566,0.3503
14,17,60358,0.3496
14,18,57239,0.348
14,19,47543,0.3453
14,20,60914,0.3415
17,1,16737,0.5291
17,2,20649,0.5291
17,3,19470,0.5037
17,4,22052,0.4009
17,5,9463,0.398
17,6,7412,0.3954
17,7,13759,0.3899
17,8,15566,0.3787
17,9,41912,0.3765
17,10,59132,0.3673
17,11,14956,0.3667
17,12,11334,0.3664
17,13,41358,0.356
17,14,19935,0.3524
17,15,7695,0.3474
17,16,63225,0.3471
17,17,11978,0.3446
17,18,9209,0.3409
17,19,30688,0.3357
17,20,23150,0.3343
19,1,4328,1.0
19,2,4071,1.0
19,3,19317,0.7623
19,4,20417,0.7185
19,5,4590,0.6774
19,6,6816,0.6774
19,7,17164,0.5256
19,8,16643,0.4957
19,9,4545,0.4957
19,10,16655,0.4906
19,11,22178,0.4699
19,12,12244,0.4586
19,13,3027,0.4525
19,14,11802,0.4301
19,15,23074,0.422
19,16,20913,0.3646
19,17,23417,0.3199
19,18,26916,0.3087
19,19,32392,0.2754
19,20,24954,0.2642
22,1,3542,1.0
