component,singular_value,variance_explained
1,72.6183,0.1664
2,70.2467,0.1557
3,60.9097,0.1171
4,59.308,0.111
5,55.9154,0.0987
6,55.055,0.0957
7,48.8154,0.0752
8,47.8506,0.0723
9,42.0275,0.0557
10,40.6731,0.0522
