user_1,user_2,similarity
2772152,1755850,0.5983
1972176,2018726,0.4623
1972176,3043552,0.4615
1972176,456070,0.4483
1972176,1066475,0.4385
1972176,1368837,0.4385
917682,732585,0.6687
917682,1420711,0.6361
917682,1386676,0.6344
917682,305742,0.613
917682,1894155,0.613
3622547,3264423,0.6334
3622547,2111780,0.621
3622547,770574,0.5915
3622547,964380,0.5769
3622547,849471,0.5651
3214198,2589562,0.5729
3214198,2903304,0.5064
3214198,3844515,0.5017
3214198,2823777,0.5017
3214198,4605707,0.4854
784165,996362,0.8006
784165,1308632,0.7698
784165,1672220,0.7303
784165,339543,0.7303
784165,612329,0.7285
298496,2990287,0.6093
298496,1171155,0.5721
298496,2484007,0.5721
298496,1087969,0.5641
298496,2183383,0.5455
1420825,1286148,0.5329
1420825,538970,0.5016
1420825,956526,0.4878
1420825,2605816,0.4722
1420825,640581,0.4717
2868172,706389,0.3227
2868172,1828391,0.3227
2868172,2143132,0.3227
2868172,2576895,0.3227
2868172,1413033,0.3077
1244252,481603,0.6428
1244252,1311219,0.6396
1244252,2884699,0.6334
1244252,2940568,0.6205
1244252,1969196,0.6155
201665,969660,0.5669
201665,3726649,0.5447
201665,4107431,0.5264
201665,352246,0.5264
201665,486053,0.5092
2604531,964380,0.5448
2604531,1856171,0.539
2604531,2688803,0.5217
2604531,552194,0.5143
2604531,849471,0.512
4188074,2720061,0.7035
4188074,2680177,0.6667
4188074,1402167,0.6325
4188074,3480631,0.6285
4188074,2962710,0.6236
2306096,767393,0.7239
2306096,553205,0.6849
2306096,1862748,0.6309
2306096,1068155,0.6205
2306096,1489544,0.6055
954564,2971113,0.8014
954564,951353,0.7858
954564,1176922,0.7715
954564,331903,0.757
954564,1004675,0.7454
354930,318958,0.6
354930,581664,0.5345
354930,1112720,0.52
354930,683376,0.5047
354930,242647,0.5029
1396100,1274405,0.669
1396100,2079426,0.669
1396100,2612851,0.6364
1396100,2303397,0.6228
1396100,3163907,0.6093
2318910,1126993,0.4811
2318910,1607726,0.4564
2318910,366959,0.4564
2318910,164172,0.4352
2318910,684011,0.4082
641788,2971113,0.723
641788,647853,0.7161
641788,951353,0.7089
641788,561662,0.6888
641788,1733783,0.6708
138297,1131630,0.6556
138297,281721,0.6508
138297,734244,0.639
