component,singular_value,variance_explained
1,72.6183,0.1195
2,70.2467,0.1118
3,60.9097,0.0841
4,59.308,0.0797
5,55.9154,0.0708
6,55.055,0.0687
7,48.8154,0.054
8,47.8506,0.0519
9,42.0275,0.04
10,40.6731,0.0375
11,39.6182,0.0356
12,38.5432,0.0337
13,38.0781,0.0329
14,35.8517,0.0291
15,35.4476,0.0285
16,34.1162,0.0264
17,33.0542,0.0248
18,32.9145,0.0245
19,32.6052,0.0241
20,31.5201,0.0225
