method,precision_at_10,recall_at_10,ndcg_at_10,hit_rate
Random,0.0,0.0,0.0,0.0
Popularity,0.015,0.015,0.0184,0.1133
Content-Based,0.01,0.0113,0.0157,0.0833
CF (SVD k=10),0.0727,0.0729,0.0945,0.4
CF (SVD k=20),0.0977,0.0988,0.128,0.4967
Hybrid (α=0.3),0.0763,0.0772,0.1001,0.4133
